id_transacao,data_venda,cliente_id,nome_cliente,idade_cliente,genero_cliente,cidade_cliente,estado_cliente,renda_estimada,produto_id,nome_produto,categoria,marca,preco_unitario,quantidade,subtotal,desconto_percent,desconto_valor,valor_final,regiao,canal_venda,custo_produto,margem_lucro,vendedor_id,comissao_vendedor,mes,trimestre,dia_semana,periodo_dia,status_entrega,avaliacao_produto,tempo_entrega_dias,forma_pagamento,parcelas
TXN00000001,2023-05-09,CLI000974,Rodrigo Castro,64,M,Brasília,GO,16509,PRD017,iPad Pro,Tablets,JBL,5857.65,3,17572.95,0,0,17572.95,Sul,Loja Física,3111.71,0.21,VEN011,63.12,9,3,Segunda,Tarde,Em Trânsito,1.8,14,Cartão Crédito,4
TXN00000002,2024-08-29,CLI000220,Lucia Ferreira,21,F,São Paulo,PE,15775,PRD003,Smartwatch Garmin,Periféricos,JBL,1947.6,3,5842.8,9,525.85,5316.95,Centro-Oeste,Loja Física,1057.43,0.51,VEN010,296.54,6,2,Quinta,Noite,Entregue,3.5,10,Cartão Débito,6
TXN00000003,2023-08-09,CLI001134,Roberto Lima,20,F,Vitória,MG,19572,PRD017,Power Bank,Wearables,Fitbit,4240,1,4240,26,1102.4,3137.6,Nordeste,App Mobile,1679.42,0.27,VEN039,438.54,4,1,Sexta,Tarde,Processando,4.6,15,Boleto,11
TXN00000004,2023-05-06,CLI000046,João Silva,26,F,Maceió,SC,8648,PRD062,Echo Dot,Tablets,Xiaomi,6070.8,4,24283.2,8,1942.66,22340.54,Sul,Marketplace,3716.06,0.3,VEN036,414.78,1,2,Quarta,Noite,Entregue,1.1,12,Cartão Débito,9
TXN00000005,2024-11-20,CLI001090,Beatriz Araújo,60,M,Aracaju,RS,13938,PRD055,Mouse Logitech,Armazenamento,Xiaomi,4258.6,5,21293,22,4684.46,16608.54,Sudeste,Marketplace,2877.29,0.55,VEN017,228.61,2,3,Domingo,Noite,Entregue,1.6,2,PIX,3
TXN00000006,2024-12-02,CLI000561,Rodrigo Castro,63,F,Natal,CE,6520,PRD011,Xbox Series X,Audio,Xiaomi,3668.73,2,7337.46,21,1540.87,5796.59,Norte,Marketplace,2120.78,0.22,VEN038,129.32,8,1,Terça,Manhã,Entregue,1.8,2,PIX,12
TXN00000007,2024-09-09,CLI001692,Ricardo Martins,61,F,João Pessoa,SC,15989,PRD067,Chromecast,Wearables,Garmin,7979.82,4,31919.28,16,5107.08,26812.2,Sul,App Mobile,3686.25,0.35,VEN050,374.27,5,3,Domingo,Manhã,Processando,1.8,13,Boleto,12
TXN00000008,2023-08-19,CLI000254,Fernanda Rocha,56,F,Belém,SP,6943,PRD016,Monitor 4K,Tablets,Microsoft,3262.3,2,6524.6,25,1631.15,4893.45,Sul,App Mobile,2235.56,0.16,VEN028,112.36,8,3,Domingo,Manhã,Entregue,3.4,4,Cartão Crédito,1
TXN00000009,2024-07-25,CLI000376,Ricardo Martins,18,F,Vitória,GO,13079,PRD044,AirPods Pro,Periféricos,Apple,4565.1,1,4565.1,14,639.11,3925.99,Sul,Telefone,2330.64,0.29,VEN023,120.95,2,4,Sábado,Manhã,Entregue,3.8,3,PIX,7
TXN00000010,2024-06-15,CLI000942,Beatriz Araújo,59,F,Curitiba,PE,16614,PRD048,Cabo USB-C,Notebooks,Logitech,6921.72,3,20765.16,3,622.95,20142.21,Nordeste,Loja Física,3915.36,0.29,VEN035,460.98,6,1,Sábado,Tarde,Entregue,2.4,6,Cartão Débito,4
TXN00000011,2023-10-14,CLI000032,Mariana Cardoso,32,F,Goiânia,CE,19589,PRD037,MacBook Air,Acessórios,Microsoft,5424.14,5,27120.7,5,1356.04,25764.67,Sudeste,Marketplace,1635.48,0.44,VEN015,352.74,9,2,Sexta,Manhã,Em Trânsito,4.3,12,Cartão Crédito,8
